time,seconds_elapsed,z,y,x
1679441213436924700,0.018924560546875,0.3290641965836286,0.3105500502496958,0.36310821274369953
1679441213446897000,0.02889697265625,0.6594897446483373,0.1127776533961296,0.23904987139850853
1679441213456868900,0.038868896484375,0.97539810706079,-0.007255085694789886,0.22543065749928354
1679441213466841000,0.048841064453125,1.328347037100792,-0.02878478045761585,0.36896336851269007
1679441213476812800,0.058812744140625,1.6001684205055235,0.07774550298154354,0.636151539158821
1679441213486785000,0.068784912109375,1.710003590708971,0.1761813272923231,0.8289908635243773
1679441213496756700,0.0787568359375,1.606247448158264,0.19615093313157558,0.8705426249660551
1679441213506729000,0.08872900390625,1.6170622721612453,0.24904665701687334,0.7892927671253681
1679441213516702000,0.098701904296875,1.5468950954794882,0.24378771357536314,0.7848940937750041
1679441213526674000,0.108673828125,1.433551624894142,0.1942722797781229,0.6556687250554561
1679441213536646000,0.11864599609375,1.0695558156609535,-0.023927403554320333,0.2393073532909155
1679441213546618000,0.1286181640625,0.362941331744194,-0.29165070399045945,-0.12023732175230979
1679441213556589800,0.13858984375,-0.33289749113619327,-0.3616811025500297,-0.40875878780633207
1679441213566562000,0.14856201171875,-0.8276607839643955,-0.32797990847826003,-0.6580798778504133
1679441213576533800,0.15853369140625,-1.219609599006176,-0.28044191223382947,-0.800669316664338
1679441213586506000,0.168506103515625,-1.3814783233076333,-0.11851999644041061,-0.8234507650539279
1679441213596478000,0.17847802734375,-1.2689157739669084,0.04169569995701313,-0.6906662425480783
1679441213606450000,0.188449951171875,-1.1033803438514471,0.25849662240743637,-0.4304804980099201
1679441213616422000,0.198421875,-1.0919576170831917,0.35587738470733166,-0.23599267578497526
1679441213626393900,0.208393798828125,-0.9884528189450502,0.3516080368250608,-0.16169892069250344
1679441213636366800,0.218366943359375,-0.6476356407254934,0.31439854237139225,-0.11866072008535265
1679441213646338800,0.2283388671875,-0.35821664130985736,0.22902093707621096,-0.138186673810333
1679441213656310800,0.238310791015625,-0.16107845070660112,0.10966741242110728,-0.19131167640686034
1679441213666283000,0.248282958984375,0.004212649258971214,-0.006297638839483261,-0.160800802809
1679441213676255000,0.2582548828125,-0.027332243561744688,-0.04843406830132007,-0.12327990431860089
1679441213686227000,0.26822705078125,-0.22047581157088278,-0.06700023708343505,-0.12895838834643364
1679441213696199000,0.278198974609375,-0.2286269693225622,-0.09668342768549919,-0.045492608021944755
1679441213706171000,0.2881708984375,-0.15248071823120116,-0.10641747071444987,0.07926292180716991
1679441213716142800,0.298142822265625,0.013515315133333206,-0.1012795233041048,0.1577304554529488
1679441213726115000,0.308114990234375,0.16763620178699493,-0.14064414996504782,0.20723171459436415
1679441213736086800,0.318086669921875,0.20209610527157781,-0.13678279836177826,0.2620078453987837
1679441213746059800,0.328059814453125,0.1245592766046524,-0.09700842185616493,0.26797844424098727
1679441213756032000,0.338031982421875,0.10025485643148421,-0.07324760704040527,0.25303981830626726
1679441213766004000,0.34800390625,-0.03804652979969978,-0.08310556870996952,0.1184834638223052
1679441213775976000,0.357975830078125,-0.2630266670525074,-0.03626724516749382,-0.03424640686437488
1679441213785948000,0.367947998046875,-0.3229021668225527,-0.018213117560744285,-0.0769715959995985
1679441213795920000,0.377919921875,-0.28457798912525173,-0.07785130144357681,-0.15225976895689963
1679441213805892000,0.38789208984375,-0.27104981451034543,-0.13838088120818137,-0.3461431955479085
1679441213815863800,0.39786376953125,-0.2717664383471012,-0.12046060911417007,-0.38056408219635485
1679441213825836000,0.4078359375,-0.30905075160264966,-0.07719780597090721,-0.3693970837548375
1679441213835807700,0.417807861328125,-0.4100239854365587,-0.015315642553567885,-0.2764424673341214
1679441213845780000,0.427780029296875,-0.5028402162998914,0.13508359322845934,-0.12340733009055256
1679441213855753000,0.4377529296875,-0.46134851448237896,0.22759762627482413,0.02097527575045824
1679441213865725000,0.447724853515625,-0.17648294058740138,0.2223655708402395,0.13026201829090714
1679441213875697000,0.45769677734375,0.1572942559927702,0.15683423726558685,0.13727350448817013
1679441213885669000,0.467669189453125,0.35914953824579715,-0.003146481332182884,-0.08669599441736936
1679441213895640800,0.477640869140625,0.34658699379265306,-0.12745616708993912,-0.20698563087880611
1679441213905613000,0.487613037109375,0.244927531260252,-0.09423954166471958,-0.2053869635105133
1679441213915584800,0.497584716796875,0.12178747380375861,-0.05885317098498344,-0.220100548517704
1679441213925557000,0.507556884765625,-0.04276771310269832,-0.03294657631218433,-0.21591595630943775
1679441213935529000,0.517529052734375,-0.23562252729833125,0.060067807471752166,-0.16721330019980668
1679441213945501000,0.5275009765625,-0.2722901699602604,0.1508937413007021,-0.024788696558773516
1679441213955473000,0.537472900390625,-0.20666589740514754,0.18119301797449588,0.0416455772049725
1679441213965444900,0.54744482421875,-0.10403905114531517,0.15187632259726525,0.04855214172303676
1679441213975417900,0.55741796875,0.007556698989868164,0.024238953721523283,-0.07935089235156774
1679441213985389800,0.567389892578125,0.1484621302396059,-0.15064707306325434,-0.22678031854256986
1679441213995361800,0.57736181640625,0.2128764424830675,-0.13307926766872405,-0.240237035356462
1679441214005334000,0.587333984375,0.28252631729245187,-0.10080839866101741,-0.19001403781175613
1679441214015306000,0.597305908203125,0.33235856195390223,-0.08541326113045215,-0.178115510225296
1679441214025278000,0.60727783203125,0.2561708098083734,-0.04739537290334701,-0.19016367541551588
1679441214035250000,0.61725,0.20733985114395617,-0.03169394590258598,-0.1685372422799468
1679441214045222000,0.627221923828125,0.11016133341789244,0.0018085107266902923,-0.15009353083372115
